pH,TDS,Turbidity,Temp,Season,KNN_Status,Recommended_Crop
7.2,1681,6,32,Summer,Normal,Pomegranate
7.4,787,27,45,Kharif,Abnormal,No Crops Suitable
9.6,1190,44,42,Rabi,Abnormal,No Crops Suitable
5.3,977,29,16,Rabi,Abnormal,No Crops Suitable
8.62,467,40,16,Rabi,Abnormal,No Crops Suitable
6.2,1117,0,27,Rabi,Normal,Chillies
6.83,917,0,30,Kharif,Normal,Groundnut
6.28,282,47,44,Rabi,Abnormal,No Crops Suitable
5.4,1036,9,24,Kharif,Normal,Castor
7.1,997,1,26,Kharif,Normal,Cotton
6.07,2810,35,39,Kharif,Abnormal,No Crops Suitable
6.69,1065,4,21,Rabi,Normal,Sunflower
8.16,1615,18,39,Rabi,Abnormal,No Crops Suitable
5.02,763,7,23,Kharif,Normal,Castor
6.87,839,14,32,Rabi,Normal,Jowar
9.72,1949,35,39,Summer,Abnormal,No Crops Suitable
6.58,1487,7,25,Rabi,Normal,Chillies
4.29,2423,17,41,Kharif,Abnormal,No Crops Suitable
7.05,1300,6,29,Summer,Normal,Banana
7.65,1824,12,21,Rabi,Abnormal,No Crops Suitable
7.18,876,50,22,Summer,Abnormal,No Crops Suitable
5.72,461,8,28,Kharif,Normal,Paddy
6.93,585,1,26,Summer,Normal,Banana
6.58,703,4,25,Summer,Normal,Mango
6.05,926,0,12,Summer,Abnormal,No Crops Suitable
7.52,673,3,23,Kharif,Normal,Red Gram
7.95,696,5,17,Rabi,Normal,Bengal Gram
6.47,1008,18,28,Kharif,Normal,Cotton
6.77,335,4,13,Rabi,Normal,Onion
5.56,845,3,29,Summer,Normal,Mango
5.29,1707,38,20,Rabi,Abnormal,No Crops Suitable
6.92,777,10,27,Rabi,Normal,Chillies
4.9,1011,48,14,Rabi,Abnormal,No Crops Suitable
6.83,1469,20,22,Kharif,Normal,Cotton
4.7,1838,31,45,Summer,Abnormal,No Crops Suitable
6.78,1178,5,29,Rabi,Normal,Chillies
6.61,668,10,28,Rabi,Normal,Chillies
4.74,2136,47,28,Summer,Abnormal,No Crops Suitable
6.49,1136,2,27,Rabi,Normal,Chillies
9.51,251,9,25,Summer,Abnormal,No Crops Suitable
6.77,606,3,32,Summer,Normal,Sweet Orange
6.8,1753,12,29,Rabi,Abnormal,No Crops Suitable
8.96,2528,33,38,Rabi,Abnormal,No Crops Suitable
6.16,839,9,24,Rabi,Normal,Chillies
6.96,357,4,20,Rabi,Normal,Onion
4.1,2227,23,10,Summer,Abnormal,No Crops Suitable
7.44,971,1,26,Summer,Normal,Banana
6.57,382,2,31,Rabi,Normal,Jowar
6.39,2121,32,19,Rabi,Abnormal,No Crops Suitable
8.59,2828,20,24,Kharif,Abnormal,No Crops Suitable
6.06,1028,5,26,Summer,Normal,Mango
9.59,2798,37,41,Kharif,Abnormal,No Crops Suitable
7.52,2622,14,32,Summer,Abnormal,No Crops Suitable
4.24,2507,8,20,Summer,Abnormal,No Crops Suitable
5.07,935,1,24,Kharif,Normal,Castor
9.58,2634,11,12,Summer,Abnormal,No Crops Suitable
5.58,2100,5,31,Rabi,Abnormal,No Crops Suitable
4.24,905,31,37,Kharif,Abnormal,No Crops Suitable
7.6,2014,40,30,Kharif,Abnormal,No Crops Suitable
6.19,1102,4,30,Rabi,Normal,Chillies
7.35,493,4,24,Summer,Normal,Banana
6.75,1208,0,28,Summer,Normal,Sweet Orange
7.85,1546,42,10,Summer,Abnormal,No Crops Suitable
5.99,947,2,24,Kharif,Normal,Maize
8.87,733,4,16,Rabi,Normal,Bengal Gram
5.91,705,2,30,Summer,Normal,Mango
5.51,784,10,25,Kharif,Normal,Castor
5.55,2547,46,16,Kharif,Abnormal,No Crops Suitable
7.2,1586,11,27,Kharif,Abnormal,No Crops Suitable
4.22,844,46,43,Kharif,Abnormal,No Crops Suitable
7.05,976,2,31,Summer,Normal,Pomegranate
4.93,2835,15,32,Rabi,Abnormal,No Crops Suitable
4.6,1458,41,23,Kharif,Abnormal,No Crops Suitable
8.56,2920,9,44,Summer,Abnormal,No Crops Suitable
5.11,933,14,38,Kharif,Abnormal,No Crops Suitable
5.51,679,3,24,Kharif,Normal,Castor
7.3,1709,4,30,Summer,Normal,Pomegranate
5.3,2399,18,13,Rabi,Abnormal,No Crops Suitable
6.82,629,6,35,Kharif,Abnormal,No Crops Suitable
5.12,2033,48,13,Summer,Abnormal,No Crops Suitable
9.6,1318,13,26,Rabi,Abnormal,No Crops Suitable
6.19,422,4,18,Rabi,Normal,Onion
5.81,1882,26,42,Kharif,Abnormal,No Crops Suitable
4.72,2879,17,29,Rabi,Abnormal,No Crops Suitable
5.53,1162,8,20,Kharif,Normal,Castor
7.85,1297,44,44,Summer,Abnormal,No Crops Suitable
6.15,921,35,39,Kharif,Abnormal,No Crops Suitable
5.7,529,41,20,Rabi,Abnormal,No Crops Suitable
4.36,201,32,36,Summer,Abnormal,No Crops Suitable
7.16,1292,2,11,Kharif,Abnormal,No Crops Suitable
7.37,1539,5,31,Summer,Normal,Pomegranate
6.41,2757,12,20,Rabi,Abnormal,No Crops Suitable
6.73,707,15,29,Rabi,Normal,Jowar
4.81,2898,32,22,Kharif,Abnormal,No Crops Suitable
8.68,1173,15,26,Rabi,Abnormal,No Crops Suitable
9.87,550,34,30,Summer,Abnormal,No Crops Suitable
6.04,784,5,25,Kharif,Normal,Groundnut
6.06,490,5,26,Kharif,Normal,Castor
4.73,480,8,30,Summer,Abnormal,No Crops Suitable
5.67,917,22,40,Summer,Abnormal,No Crops Suitable
6.03,2440,34,42,Rabi,Abnormal,No Crops Suitable
7.96,683,11,24,Kharif,Normal,Cotton
6.55,554,3,27,Summer,Normal,Mango
7.27,530,0,25,Kharif,Normal,Groundnut
5.03,2997,13,30,Summer,Abnormal,No Crops Suitable
5.01,2309,25,15,Rabi,Abnormal,No Crops Suitable
8.36,1109,1,32,Kharif,Abnormal,No Crops Suitable
6.39,645,12,44,Rabi,Abnormal,No Crops Suitable
6.83,378,3,23,Rabi,Normal,Chillies
5.54,922,0,21,Summer,Normal,Tomato
6.42,407,10,26,Kharif,Normal,Maize
6.6,748,2,24,Rabi,Normal,Bengal Gram
9.16,1749,50,27,Kharif,Abnormal,No Crops Suitable
9.12,333,0,10,Rabi,Abnormal,No Crops Suitable
9.41,1395,39,42,Kharif,Abnormal,No Crops Suitable
6.75,600,2,14,Rabi,Normal,Onion
5.23,2600,19,23,Kharif,Abnormal,No Crops Suitable
7.45,813,8,24,Rabi,Normal,Sunflower
8.63,216,16,10,Rabi,Abnormal,No Crops Suitable
7.92,955,13,27,Rabi,Normal,Jowar
6.12,1120,11,18,Kharif,Abnormal,No Crops Suitable
5.68,325,2,24,Kharif,Normal,Castor
5.17,1034,42,25,Summer,Abnormal,No Crops Suitable
6.43,1344,1,26,Rabi,Normal,Jowar
7.06,351,2,36,Kharif,Abnormal,No Crops Suitable
7.66,2260,37,16,Summer,Abnormal,No Crops Suitable
6.21,689,4,14,Rabi,Normal,Onion
6.97,1112,5,25,Rabi,Normal,Jowar
6.3,1384,4,22,Rabi,Normal,Chillies
6.49,2666,8,36,Summer,Abnormal,No Crops Suitable
5.81,724,2,23,Summer,Normal,Tomato
8.49,212,43,36,Rabi,Abnormal,No Crops Suitable
5.74,1253,49,43,Kharif,Abnormal,No Crops Suitable
6.05,816,2,16,Rabi,Normal,Onion
9.32,734,6,17,Kharif,Abnormal,No Crops Suitable
7.19,2313,30,13,Summer,Abnormal,No Crops Suitable
5.89,1614,43,17,Summer,Abnormal,No Crops Suitable
6.99,1322,6,30,Summer,Normal,Pomegranate
6.53,396,5,27,Kharif,Normal,Red Gram
9.76,396,6,38,Rabi,Abnormal,No Crops Suitable
7.98,1383,49,42,Kharif,Abnormal,No Crops Suitable
6.12,884,3,25,Summer,Normal,Mango
5.74,846,5,24,Kharif,Normal,Castor
9.78,2107,35,38,Rabi,Abnormal,No Crops Suitable
7.06,530,20,45,Summer,Abnormal,No Crops Suitable
7.04,1174,11,12,Kharif,Abnormal,No Crops Suitable
6.0,629,5,29,Summer,Normal,Sweet Orange
4.82,2253,44,31,Kharif,Abnormal,No Crops Suitable
5.98,788,5,22,Kharif,Normal,Maize
9.16,680,27,16,Rabi,Abnormal,No Crops Suitable
6.37,346,7,33,Kharif,Normal,Paddy
6.48,1022,2,21,Kharif,Normal,Castor
8.36,2841,11,11,Rabi,Abnormal,No Crops Suitable
6.42,992,1,24,Summer,Normal,Tomato
7.47,619,21,41,Summer,Abnormal,No Crops Suitable
8.4,524,5,25,Rabi,Normal,Jowar
5.83,1028,17,31,Kharif,Normal,Cotton
7.7,1246,0,26,Summer,Normal,Pomegranate
6.51,651,6,19,Kharif,Normal,Red Gram
6.62,1697,4,26,Summer,Normal,Pomegranate
7.57,2605,16,21,Summer,Abnormal,No Crops Suitable
6.36,2986,41,42,Summer,Abnormal,No Crops Suitable
8.54,743,5,24,Summer,Abnormal,No Crops Suitable
6.56,1007,10,23,Rabi,Normal,Chillies
6.12,783,6,28,Kharif,Normal,Paddy
6.99,1234,4,28,Summer,Normal,Pomegranate
6.95,2072,15,25,Kharif,Abnormal,No Crops Suitable
6.96,692,1,18,Kharif,Normal,Red Gram
9.99,1249,15,19,Summer,Abnormal,No Crops Suitable
9.1,893,17,18,Kharif,Abnormal,No Crops Suitable
7.42,1114,10,30,Summer,Normal,Pomegranate
5.48,987,17,26,Rabi,Abnormal,No Crops Suitable
5.92,828,0,30,Summer,Normal,Mango
7.16,2280,41,27,Rabi,Abnormal,No Crops Suitable
7.4,528,8,30,Kharif,Normal,Red Gram
6.93,1001,2,24,Summer,Normal,Mango
7.3,2737,25,14,Summer,Abnormal,No Crops Suitable
9.08,554,41,27,Summer,Abnormal,No Crops Suitable
6.75,1373,3,27,Rabi,Normal,Jowar
9.08,514,5,30,Rabi,Abnormal,No Crops Suitable
7.46,1031,4,31,Summer,Normal,Pomegranate
9.18,269,25,33,Summer,Abnormal,No Crops Suitable
6.66,686,2,13,Rabi,Normal,Onion
9.4,2429,23,24,Summer,Abnormal,No Crops Suitable
8.11,2294,26,44,Rabi,Abnormal,No Crops Suitable
7.08,436,4,20,Kharif,Normal,Red Gram
6.88,468,5,22,Rabi,Normal,Sunflower
9.6,1873,50,17,Summer,Abnormal,No Crops Suitable
5.2,1158,10,25,Kharif,Normal,Castor
7.84,405,19,31,Kharif,Normal,Cotton
6.14,563,7,30,Kharif,Normal,Groundnut
6.62,320,1,22,Rabi,Normal,Sunflower
6.74,1259,43,15,Rabi,Abnormal,No Crops Suitable
6.41,952,3,29,Summer,Normal,Sweet Orange
8.92,861,39,26,Kharif,Abnormal,No Crops Suitable
5.8,1092,9,24,Summer,Normal,Tomato
6.79,2020,0,20,Rabi,Abnormal,No Crops Suitable
9.91,846,45,19,Rabi,Abnormal,No Crops Suitable
7.27,386,1,24,Summer,Normal,Mango
8.48,867,23,38,Rabi,Abnormal,No Crops Suitable
7.27,359,40,15,Summer,Abnormal,No Crops Suitable
6.17,479,1,28,Kharif,Normal,Paddy
4.77,821,11,30,Rabi,Abnormal,No Crops Suitable
6.71,458,24,38,Kharif,Abnormal,No Crops Suitable
6.26,1235,2,27,Rabi,Normal,Chillies
6.03,957,33,11,Summer,Abnormal,No Crops Suitable
6.95,348,9,31,Rabi,Normal,Jowar
7.32,452,5,29,Kharif,Normal,Groundnut
7.79,384,10,29,Summer,Normal,Pomegranate
