temperature,turbidity,tds,ph,result
15,29,7,9,2
15,20,5,8,2
34,58,1,14,2
37,35,1,9,2
30,27,9,4,2
29,79,1,12,2
19,51,7,7,2
35,69,3,14,2
34,20,11,9,2
28,27,5,12,2
16,53,12,6,2
22,72,9,2,2
20,79,7,8,2
16,47,12,7,2
24,57,4,3,2
36,34,2,4,2
24,35,10,7,2
31,71,3,9,2
34,59,1,6,2
17,44,4,3,2
33,25,6,9,2
28,48,1,7,2
32,55,4,6,2
15,48,6,5,2
29,32,11,3,2
37,34,6,2,2
27,77,10,5,2
25,73,5,6,2
20,46,1,1,2
31,60,1,10,2
40,27,1,5,2
35,48,6,12,2
24,31,12,10,1
36,72,1,2,2
29,35,2,10,2
36,31,1,9,2
40,71,1,9,2
32,37,11,6,2
22,59,4,14,2
22,33,3,6,2
15,75,3,14,2
19,22,9,2,2
38,76,12,14,2
24,65,11,11,1
35,63,7,1,2
35,80,5,2,2
33,51,1,14,2
23,42,3,12,2
40,58,4,8,2
27,44,9,1,2
21,74,6,10,2
36,37,11,3,2
38,30,3,9,2
33,61,3,13,2
28,56,5,12,2
23,76,3,11,2
18,36,1,4,2
32,21,9,12,1
22,75,5,10,2
36,51,6,7,2
19,42,2,3,2
21,40,10,14,1
30,56,9,8,2
25,26,10,5,2
33,49,10,9,2
17,70,4,3,2
37,74,12,1,2
24,58,1,6,2
21,34,7,7,2
30,77,2,13,2
30,48,4,12,2
24,30,7,13,1
30,26,12,3,2
28,63,1,3,2
36,78,6,5,2
21,42,1,9,2
36,52,11,3,2
34,54,6,11,1
37,32,3,9,2
30,26,12,2,2
36,20,9,4,2
16,50,3,12,2
39,67,10,4,2
37,38,6,1,2
23,21,12,12,1
28,31,11,4,2
15,29,3,3,2
27,66,4,4,2
16,75,9,8,2
34,74,4,4,2
32,38,7,4,2
31,78,5,12,2
30,40,4,7,2
30,48,4,10,2
37,73,3,13,2
26,40,3,4,2
25,26,7,10,1
38,54,8,4,2
18,20,2,9,2
27,34,4,4,2
21,53,2,9,2
18,63,2,14,2
26,20,12,4,2
20,31,10,4,2
26,55,4,2,2
31,52,8,3,2
36,63,7,12,2
29,51,3,9,2
17,55,10,4,2
24,34,10,14,1
17,21,2,9,2
36,48,12,1,2
34,21,11,5,2
33,51,6,12,1
17,30,6,8,2
15,67,8,6,2
27,41,11,10,1
34,74,6,5,2
37,72,10,13,2
37,72,9,9,2
32,37,5,8,2
37,65,4,8,2
17,43,10,9,0
27,21,5,13,2
33,60,1,6,2
27,59,6,2,2
29,79,6,7,2
40,56,12,10,2
27,49,3,14,2
39,49,4,1,2
26,57,9,7,2
20,74,2,8,2
35,31,5,3,2
37,21,7,6,2
29,78,3,4,2
32,33,1,11,2
24,30,2,7,2
25,39,6,1,2
25,58,11,3,2
35,64,11,11,2
35,61,9,11,2
39,22,3,14,2
21,78,11,11,2
30,61,12,13,1
30,56,11,9,2
38,61,1,14,2
26,39,12,1,2
38,27,11,4,2
26,69,12,4,2
29,77,3,2,2
40,43,1,12,2
17,39,3,10,2
18,23,12,8,0
40,39,7,14,2
33,25,2,6,2
20,24,2,2,2
30,75,4,5,2
25,53,7,4,2
23,47,12,10,1
31,67,9,4,2
36,37,4,2,2
29,32,6,2,2
27,38,9,3,2
40,20,9,1,2
28,71,2,5,2
18,80,10,4,2
18,40,6,13,1
26,22,6,10,1
40,23,9,8,2
18,42,4,10,2
18,73,2,1,2
33,43,9,13,1
21,60,12,9,2
31,57,7,12,1
37,40,2,10,2
26,30,9,5,2
27,73,12,6,2
